id,isSingle,timeClaim,timeLastChange,utcOffsetStart,numReplies,numPhotos,numFans,comment,websiteUrl,league_ident,league_flight_isActive,league_flight_isPublic,league_flight_isValid,league_flight_link,league_route_type,league_route_distance,league_route_duration,league_route_avgSpeed,league_route_points,league_route_factor,takeoff_id,takeoff_name,takeoff_countryIso,takeoff_countryName,glider_nameCompact,glider_classFAI,glider_subclass,pointStart_time,pointStart_altitude,pointStart_longitude,pointStart_latitude,pointEnd_time,pointEnd_altitude,pointEnd_longitude,pointEnd_latitude,stats_duration,stats_altitudeMax,stats_altitudeGain,stats_climbMax,stats_sinkMax,stats_distanceStartEnd,stats_distanceTracklog,igc_name,igc_isValid,igc_nameArchive
5028889,1,2024-09-15T14:19:41Z,2024-09-15T14:19:47Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/15.09.2024/10:57,FREE_TRIANGLE,51.875,3:13:01,16.1256,62.25,1.2,262,"St. André",FR,France,"BGD Lynx 2",3,C,2024-09-15T10:57:24Z,1564,6.479763,43.978748,2024-09-15T14:13:03Z,887,6.510593,43.95857,3:15:39,2599,1035,4.26666666667,5.56666666667,3335,125480,2024-09-15-XCT-RFA-01.igc,1,rmfalquier.2024-09-15.10-57-24.IGC
5028885,1,2024-09-15T14:18:51Z,2024-09-15T14:18:57Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/14.09.2024/11:12,FAI_TRIANGLE,20.967,1:07:42,18.5823,33.55,1.6,262,"St. André",FR,France,"BGD Lynx 2",3,C,2024-09-14T11:12:56Z,1547,6.479792,43.978538,2024-09-14T13:34:38Z,816,6.38414,44.014673,2:21:42,2348,801,3.7,3.43333333333,8642,84365,2024-09-14-XCT-RFA-01.igc,1,rmfalquier.2024-09-14.11-12-56.IGC
4996512,,2024-08-31T20:22:10Z,2024-09-18T11:26:26Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/30.08.2024/14:20,FREE_FLIGHT,18.765,0:51:23,21.9118,18.76,1,408,Haldigrat,CH,Switzerland,"BGD Dual 2",3,T,2024-08-30T14:20:10Z,2020,8.444647,46.900953,2024-08-30T15:12:02Z,585,8.372203,46.868177,0:51:52,2139,119,2.76666666667,2.53333333333,6603,33274,2024-08-30-XCT-XXX-01.igc,1,rmfalquier.2024-08-30.14-20-10.IGC
4995264,1,2024-08-31T15:30:13Z,2024-08-31T15:30:17Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/31.08.2024/10:43,FREE_FLIGHT,64.479,2:38:36,24.3931,64.48,1,611,Grindelwald,CH,Switzerland,"BGD Lynx 2",3,C,2024-08-31T10:43:13Z,2134,8.054557,46.658237,2024-08-31T14:18:58Z,570,7.823557,46.680745,3:35:45,3591,1457,3.93333333333,3,17803,147077,2024-08-31-XCT-RFA-01.igc,1,rmfalquier.2024-08-31.10-43-13.IGC
4814886,1,2024-07-09T16:37:01Z,2024-07-09T16:37:04Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/9.07.2024/15:06,FAI_TRIANGLE,31.957,1:18:01,24.5771,44.74,1.4,408,Haldigrat,CH,Switzerland,"BGD Lynx 2",3,C,2024-07-09T15:06:17Z,1967,8.441663,46.902223,2024-07-09T16:34:32Z,507,8.397853,46.905267,1:28:15,2711,744,2.36666666667,2.43333333333,3346,58486,2024-07-09-XCT-RFA-02.igc,1,rmfalquier.2024-07-09.15-06-17.IGC
4800183,1,2024-07-05T12:55:46Z,2024-07-05T12:55:50Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/5.07.2024/09:38,FREE_FLIGHT,41.979,3:10:09,13.2461,41.98,1,549,Mornera,CH,Switzerland,"BGD Lynx 2",3,C,2024-07-05T09:38:18Z,1382,8.985887,46.205883,2024-07-05T12:55:02Z,285,8.744978,46.211115,3:16:44,2029,647,2.5,3.16666666667,18547,121237,2024-07-05-XCT-RFA-01.igc,1,rmfalquier.2024-07-05.09-38-18.IGC
4617042,1,2024-04-28T17:26:34Z,2024-04-28T17:26:36Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/26.04.2024/10:45,FAI_TRIANGLE,12.224,1:07:14,10.9089,19.56,1.6,417,Amisbühl,CH,Switzerland,"BGD Lynx 2",3,C,2024-04-26T10:45:09Z,1280,7.820852,46.700268,2024-04-26T12:04:43Z,580,7.823445,46.680543,1:19:34,1910,630,3.43333333333,2.86666666667,2202,48266,2024-04-26-XCT-RFA-01.igc,1,rmfalquier.2024-04-26.10-45-09.IGC
4608514,1,2024-04-25T12:39:59Z,2024-04-25T12:57:44Z,7200,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/25.04.2024/10:55,FREE_FLIGHT,20.665,0:59:55,20.6937,20.67,1,417,Amisbühl,CH,Switzerland,"BGD Lynx 2",3,C,2024-04-25T10:55:14Z,1277,7.820742,46.70031,2024-04-25T12:38:36Z,572,7.823362,46.680618,1:43:22,2026,749,3.46666666667,3.43333333333,2199,63786,2024-04-25-XCT-RFA-01.igc,1,rmfalquier.2024-04-25.10-55-14.IGC
4408703,1,2024-01-18T21:03:49Z,2024-01-18T21:03:52Z,-18000,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/18.01.2024/17:40,FREE_TRIANGLE,39.107,3:12:34,12.185,46.93,1.2,1941,Piedechinche,CO,Colombia,"BGD Lynx 2",3,C,2024-01-18T17:40:49Z,1809,-76.177315,3.635857,2024-01-18T20:59:21Z,1070,-76.251787,3.673463,3:18:32,2810,1001,4.23333333333,3.76666666667,9264,135245,2024-01-18-XCT-RFA-01.igc,1,rmfalquier.2024-01-18.17-40-49.IGC
4405958,1,2024-01-16T21:06:07Z,2024-01-16T21:06:09Z,-18000,0,0,0,,,world2024,1,1,,https://www.xcontest.org/2024/world/en/flights/detail:rmfalquier/16.01.2024/20:00,FREE_FLIGHT,17.663,0:56:45,18.6745,17.66,1,1941,Piedechinche,CO,Colombia,"BGD Lynx 2",3,C,2024-01-16T20:00:51Z,1803,-76.177298,3.63655,2024-01-16T21:00:56Z,1105,-76.243485,3.654053,1:00:05,2786,983,4.2,6.23333333333,7601,40840,2024-01-16-XCT-RFA-01.igc,1,rmfalquier.2024-01-16.20-00-51.IGC
